seed;N;max_generation;max_season_time_steps;n_sites;data_print_interval;init_resources_site;init_predator_density;mu_an;an_init;mu_bn;bn_init;mu_ax;ax_init;mu_bx;bx_init;mu_at;at_init;mu_bt;bt_init;mu_ap;ap_init;mu_bp;bp_init;mu_anu;anu_init;mu_bnu;bnu_init;mu_axo;axo_init;mu_bxo;bxo_init;sdmu;pr_base_flight_survive;flight_survive_scale;flight_survive_power;flight_survive_max_size;min_resources;f;g;generation;mean_an;mean_bn;mean_ax;mean_bx;mean_at;mean_bt;mean_ap;mean_bp;mean_anu;mean_bnu;mean_axo;mean_bxo;mean_resources;var_an;var_bn;var_ax;var_bx;var_at;var_bt;var_ap;var_bp;var_anu;var_bnu;var_axo;var_bxo;var_resources;n;n_female;n_male;file
3563601926;2500;50000;50;10;10;10;10;0.02;0;0.02;0;0.02;0;0.02;0;0.02;0;0.02;0;0;0;0;0;0.02;0;0.02;0;0.02;0;0.02;0;0.02;0.05;0.7;1;50;0;1;3;50000;0.000992303;-0.00300514;-0.00294522;-0.0849003;0.00119986;-0.000778323;0;0;0.00362887;-0.0744191;-0.0010513;0.0936163;108.51;0.000206439;0.000184004;0.00020782;0.000312329;0.000190995;0.000190892;0;0;0.000189427;-2.68881e-05;0.000196885;-1.24976e-06;241.295;2339;1191;1148;./sim_cue_migration_20260718_123204_98
386699528;2500;50000;50;10;10;10;10;0.02;0;0.02;0;0.02;0;0.02;0;0.02;0;0.02;0;0;0;0;0;0.02;0;0.02;0;0.02;0;0.02;0;0.02;0.5;0.7;1;50;0;2;3;50000;-7.72994e-05;-0.0407014;0.000671602;-0.0754426;0.00131008;-0.00123371;0;0;0.000599787;-0.0068276;-0.000693359;0.0154585;94.9653;0.000186591;0.000928703;0.000165858;0.000251569;0.000206078;0.000215772;0;0;0.000174247;2.89532e-06;0.000186733;7.7479e-05;913.4;1730;858;872;./sim_cue_migration_20260718_123204_104
1040394909;2500;50000;50;10;10;10;10;0.02;0;0.02;0;0.02;0;0.02;0;0.02;0;0.02;0;0;0;0;0;0.02;0;0.02;0;0.02;0;0.02;0;0.02;0.5;0.7;1;50;0;1;3;50000;-0.00190619;-0.0047301;-0.00138181;-0.0778259;0.000369548;-0.00107854;0;0;0.00352126;-0.0708923;-0.000149406;0.0749233;105.35;0.000228881;0.000280286;0.000166499;0.00068273;0.000191122;0.000181388;0;0;0.000192256;0.000550387;0.000159117;0.000422147;926.915;2378;1143;1235;./sim_cue_migration_20260718_123204_100
643602239;2500;50000;50;10;10;10;10;0.02;0;0.02;0;0.02;0;0.02;0;0.02;0;0.02;0;0;0;0;0;0.02;0;0.02;0;0.02;0;0.02;0;0.02;0.1;0.7;1;50;0;1;3;50000;-0.00321624;-0.00454804;-0.00205444;-0.0721864;-4.25547e-05;-0.000198566;0;0;-0.000680919;-0.067236;-0.000390919;0.070082;110.623;0.000208736;0.000230015;0.00016512;0.000453951;0.000182465;0.000175462;0;0;0.000183235;0.000188108;0.000199423;0.000203445;753.42;2243;1095;1148;./sim_cue_migration_20260718_123204_99
956446092;2500;50000;50;10;10;10;10;0.02;0;0.02;0;0.02;0;0.02;0;0.02;0;0.02;0;0;0;0;0;0.02;0;0.02;0;0.02;0;0.02;0;0.02;0.1;0.7;1;50;0;2;3;50000;-0.00292866;-0.0441459;0.00380991;-0.0844387;-0.000223561;-0.00291503;0;0;0.00520668;0.0519263;-0.000489161;-0.00239729;16.7319;0.000211154;0.00102137;0.000209467;-2.79486e-05;0.000219258;0.000224956;0;0;0.000258225;6.35069e-05;0.000222998;0.000189018;68.4678;869;457;412;./sim_cue_migration_20260718_123204_103
2900083131;2500;50000;50;10;10;10;10;0.02;0;0.02;0;0.02;0;0.02;0;0.02;0;0.02;0;0;0;0;0;0.02;0;0.02;0;0.02;0;0.02;0;0.02;0.01;0.7;1;50;0;3;3;50000;-0.00146315;-0.0388743;-0.00556727;-0.0732154;-0.000582749;-0.00171839;0;0;0.00152232;0.0535625;0.000334927;-0.00457465;14.5241;0.000155258;0.000918564;0.000177708;-5.08736e-05;0.00021508;0.000100063;0;0;0.000262581;0.000257418;0.000271043;0.000285764;94.5157;706;367;339;./sim_cue_migration_20260718_123204_105
769910003;2500;50000;50;10;10;10;10;0.02;0;0.02;0;0.02;0;0.02;0;0.02;0;0.02;0;0;0;0;0;0.02;0;0.02;0;0.02;0;0.02;0;0.02;0.1;0.7;1;50;0;3;3;50000;0.00113028;-0.0484158;0.000566196;-0.0677669;-0.00211865;0.000630746;0;0;0.00092798;0.0457951;-0.00188814;0.000456721;14.2759;0.000153244;0.000861781;0.000285541;0.000481753;0.000160456;0.000177832;0;0;0.000132521;0.000328777;0.000287013;0.00013667;107.452;754;355;399;./sim_cue_migration_20260718_123204_107
4080168784;2500;50000;50;10;10;10;10;0.02;0;0.02;0;0.02;0;0.02;0;0.02;0;0.02;0;0;0;0;0;0.02;0;0.02;0;0.02;0;0.02;0;0.02;0.01;0.7;1;50;0;2;3;50000;-0.000303269;-0.0365316;0.00193292;-0.0842547;0.00117663;-0.000512204;0;0;0.00268377;0.0520121;-0.00256452;0.00213342;16.6259;0.000234068;0.000853872;0.000170652;0.000134338;0.000201402;0.000152828;0;0;0.00015489;0.000248962;0.000194524;0.00015344;75.2455;882;447;435;./sim_cue_migration_20260718_123204_101
583966505;2500;50000;50;10;10;10;10;0.02;0;0.02;0;0.02;0;0.02;0;0.02;0;0.02;0;0;0;0;0;0.02;0;0.02;0;0.02;0;0.02;0;0.02;0.05;0.7;1;50;0;2;3;50000;-0.00217562;-0.0373761;-0.00240337;-0.075785;0.00170635;-0.00094954;0;0;0.00296335;0.0551544;0.00152224;0.00444601;16.1788;0.000174988;0.000879787;0.000209552;0.000252975;0.000186313;0.000238454;0;0;0.000224006;0.000265936;0.000201447;0.000185489;78.7384;906;453;453;./sim_cue_migration_20260718_123204_102
1830910569;2500;50000;50;10;10;10;10;0.02;0;0.02;0;0.02;0;0.02;0;0.02;0;0.02;0;0;0;0;0;0.02;0;0.02;0;0.02;0;0.02;0;0.02;0.01;0.7;1;50;0;1;3;50000;-7.71083e-05;-0.000941728;0.000114046;-0.0819768;-0.00148245;-0.00224982;0;0;-0.00239651;-0.0722998;0.00300214;0.0810218;109.163;0.000199908;0.000178443;0.000172859;0.000198668;0.000194474;0.00018955;0;0;0.000234237;-2.65118e-05;0.000319191;-8.3344e-06;212.301;2338;1194;1144;./sim_cue_migration_20260718_123204_109
1146742079;2500;50000;50;10;10;10;10;0.02;0;0.02;0;0.02;0;0.02;0;0.02;0;0.02;0;0;0;0;0;0.02;0;0.02;0;0.02;0;0.02;0;0.02;0.05;0.7;1;50;0;3;3;50000;-0.00320101;-0.0115036;-0.00221602;-0.0869642;0.00210137;0.000709745;0;0;-0.000883339;0.0524042;0.00232067;-0.00122585;15.466;0.000197217;0.00024928;0.000161057;0.000467571;0.000169808;0.00035349;0;0;0.000197261;0.000330667;0.000135531;0.00017172;59.0627;779;380;399;./sim_cue_migration_20260718_123204_106
2219470902;2500;50000;50;10;10;10;10;0.02;0;0.02;0;0.02;0;0.02;0;0.02;0;0.02;0;0;0;0;0;0.02;0;0.02;0;0.02;0;0.02;0;0.02;0.5;0.7;1;50;0;3;3;50000;-0.000470605;-0.0469587;-8.18804e-05;-0.0955185;0.00293416;-0.00471106;0;0;0.00333174;0.0459579;-0.000103942;0.00417052;17.6375;0.000235659;0.000807936;0.00018779;-8.12211e-05;0.000223006;0.000204662;0;0;0.000155341;7.66855e-05;0.000249517;0.00018671;114.324;778;404;374;./sim_cue_migration_20260718_123204_108
3800761579;2500;50000;50;10;10;10;10;0.02;0;0.02;0;0.02;0;0.02;0;0.02;0;0.02;0;0;0;0;0;0.02;0;0.02;0;0.02;0;0.02;0;0.02;0.05;0.7;1;50;0;1;3;50000;0.00109302;-0.00347829;0.000510632;-0.0735064;-0.000746938;-0.00088755;0;0;-0.00222153;-0.0791333;-0.00115748;0.0827849;110.777;0.000209209;0.000184282;0.000232802;0.000242525;0.000178558;0.000196148;0;0;0.000202109;1.24158e-05;0.000218059;1.49136e-05;340.587;2350;1189;1161;./sim_cue_migration_20260718_123204_110
